wl,k
3.00E-02,0.090808
3.03E-02,0.092924
3.06E-02,0.095088
3.09E-02,0.097307
3.12E-02,0.099571
3.15E-02,0.101885
3.18E-02,0.104244
3.21E-02,0.106656
3.25E-02,0.109126
3.28E-02,0.111647
3.31E-02,0.114236
3.34E-02,0.116878
3.38E-02,0.119567
3.41E-02,0.122209
3.45E-02,0.124693
3.48E-02,0.126809
3.51E-02,0.128955
3.55E-02,0.131143
3.58E-02,0.133365
3.62E-02,0.136553
3.66E-02,0.1399
3.69E-02,0.143213
3.73E-02,0.146494
3.77E-02,0.149742
3.81E-02,0.152958
3.84E-02,0.156142
3.88E-02,0.159295
3.92E-02,0.162416
3.96E-02,0.165507
4.00E-02,0.168567
4.04E-02,0.171596
4.08E-02,0.175068
4.12E-02,0.180254
4.16E-02,0.187256
4.20E-02,0.195025
4.25E-02,0.203259
4.29E-02,0.21184
4.33E-02,0.220746
4.37E-02,0.23005
4.42E-02,0.240085
4.46E-02,0.249093
4.51E-02,0.253264
4.55E-02,0.252294
4.60E-02,0.250013
4.64E-02,0.252464
4.69E-02,0.26046
4.74E-02,0.270022
4.78E-02,0.28039
4.83E-02,0.291335
4.88E-02,0.302881
4.93E-02,0.313805
4.98E-02,0.323299
5.03E-02,0.332287
5.08E-02,0.341151
5.13E-02,0.349806
5.18E-02,0.353096
5.23E-02,0.354566
5.28E-02,0.363136
5.34E-02,0.375978
5.39E-02,0.38814
5.44E-02,0.397168
5.50E-02,0.411489
5.55E-02,0.434434
5.61E-02,0.452936
5.67E-02,0.463637
5.72E-02,0.472242
5.78E-02,0.479679
5.84E-02,0.486141
5.90E-02,0.492552
5.95E-02,0.501506
6.01E-02,0.511722
6.07E-02,0.52031
6.14E-02,0.529356
6.20E-02,0.540851
6.26E-02,0.553909
6.32E-02,0.566062
6.38E-02,0.576825
6.45E-02,0.587342
6.51E-02,0.597691
6.58E-02,0.60778
6.64E-02,0.620951
6.71E-02,0.635486
6.78E-02,0.643249
6.84E-02,0.649139
6.91E-02,0.658131
6.98E-02,0.66723
7.05E-02,0.676323
7.12E-02,0.685415
7.19E-02,0.694612
7.27E-02,0.699942
7.34E-02,0.699928
7.41E-02,0.697823
7.49E-02,0.69425
7.56E-02,0.689602
7.64E-02,0.684428
7.71E-02,0.678849
7.79E-02,0.672967
7.87E-02,0.666877
7.95E-02,0.660683
8.03E-02,0.654506
8.11E-02,0.648542
8.19E-02,0.651989
8.27E-02,0.665935
8.35E-02,0.678049
8.44E-02,0.683634
8.52E-02,0.686072
8.60E-02,0.688541
8.69E-02,0.694971
8.78E-02,0.706731
8.87E-02,0.719526
8.95E-02,0.725584
9.04E-02,0.724254
9.13E-02,0.729951
9.23E-02,0.731917
9.32E-02,0.719519
9.41E-02,0.702867
9.50E-02,0.677451
9.60E-02,0.676337
9.70E-02,0.69378
9.79E-02,0.701398
9.89E-02,0.710496
9.99E-02,0.72078
1.01E-01,0.72967
1.02E-01,0.736282
1.03E-01,0.740562
1.04E-01,0.740975
1.05E-01,0.742378
1.06E-01,0.734122
1.07E-01,0.709172
1.08E-01,0.67681
1.09E-01,0.634501
1.10E-01,0.602484
1.11E-01,0.585491
1.13E-01,0.56886
1.14E-01,0.551819
1.15E-01,0.524736
1.16E-01,0.544218
1.17E-01,0.584025
1.18E-01,0.610374
1.19E-01,0.636461
1.21E-01,0.623631
1.22E-01,0.579259
1.23E-01,0.498676
1.24E-01,0.418891
1.26E-01,0.360819
1.27E-01,0.306025
1.28E-01,0.251772
1.29E-01,0.198057
1.31E-01,0.147217
1.32E-01,0.126202
1.33E-01,0.105396
1.35E-01,0.084795
1.36E-01,0.066665
1.37E-01,0.059834
1.39E-01,0.053069
1.40E-01,0.046556
1.42E-01,0.040788
1.43E-01,0.03577
1.44E-01,0.035579
1.46E-01,0.035389
1.47E-01,0.034107
1.49E-01,0.028736
1.50E-01,0.023419
1.52E-01,0.0195
1.53E-01,0.019141
1.55E-01,0.018794
1.56E-01,0.018558
1.58E-01,0.018325
1.59E-01,0.018094
1.61E-01,0.017689
1.63E-01,0.01721
1.64E-01,0.016326
1.66E-01,0.01524
1.68E-01,0.014165
1.69E-01,0.013101
1.71E-01,0.012047
1.73E-01,0.010604
1.74E-01,0.008981
1.76E-01,0.008657
1.78E-01,0.008394
1.80E-01,0.008133
1.81E-01,0.007875
1.83E-01,0.007619
1.85E-01,0.007365
1.87E-01,0.007114
1.89E-01,0.006866
1.91E-01,0.006632
1.93E-01,0.006538
1.95E-01,0.006447
1.97E-01,0.006357
1.98E-01,0.006269
2.00E-01,0.006183
2.02E-01,0.006099
2.04E-01,0.006016
2.07E-01,0.005935
